"Part";"Value";"Device";"Package";"Description";"";
"C1";"22pF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C2";"22pF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C3";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C4";"100n";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C5";"100uF";"CPOL-USE2,5-6E";"E2,5-6E";"POLARIZED CAPACITOR, American symbol";"";
"C6";"100n";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C8";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C9";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C10";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C11";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C12";"1uF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C13";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C14";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C15";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C16";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C17";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C18";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C19";"100n";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C20";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C21";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C22";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"C23";"100nF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";
"D1";"1N5819";"1N5817-B";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";
"D2";"1N5819";"1N5817-B";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";
"D3";"1N5819";"1N5817-B";"DO41-7.6";"1.0A SCHOTTKY BARRIER RECTIFIER";"";
"J1";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";
"J2";"";"M01PTH_LONGPAD";"1X01_LONGPAD";"Header 1";"";
"OK1";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";
"Q1";"16MHz";"XTAL/S";"QS";"CRYSTAL";"";
"Q2";"P_MOSFET";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";
"R1";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R2";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R3";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R4";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R5";"220k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R6";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R7";"220k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R8";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R9";"4.7k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R10";"4.7k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R11";"1k";"TRIMPOTPTH";"TRIM_POT_PTH";"Various small potentiometers for "set-and-forget" applications";"";
"R12";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R13";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R14";"3.3k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R15";"47";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R16";"3.3k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R17";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R18";"47";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R19";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R20";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R21";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R22";"680";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R23";"680";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R24";"680";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R25";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R26";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R27";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R28";"2.2k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"R29";"2.2k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";
"SV1";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"SV2";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV3";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV4";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV5";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV6";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV7";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV8";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV9";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV10";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV11";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV12";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV13";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV14";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"SV15";"ICSP";"MA03-2";"MA03-2";"PIN HEADER";"";
"SV16";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV17";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV18";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV19";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV20";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV21";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV22";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV23";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV24";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV25";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV26";"";"MA20-1";"MA20-1";"PIN HEADER";"";
"SV27";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"SV28";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"SV29";"";"MA05-1";"MA05-1";"PIN HEADER";"";
"SV30";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV31";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV32";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV33";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"SV34";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"T1";"BC337";"BC337";"TO92";"NPN TRANSISTOR";"";
"T2";"BC337";"BC337";"TO92";"NPN TRANSISTOR";"";
"T3";"BC337";"BC337";"TO92";"NPN TRANSISTOR";"";
"T4";"BC337";"BC337";"TO92";"NPN TRANSISTOR";"";
"U$1";"MICROSD-PUSH-OUT";"MICROSD-PUSH-OUT";"MICROSD-PUSH-OUT";"T-Flash Push-Out Micro SD Card Reader";"";
"U1";"EEPROM-I2C";"EEPROM-I2CEIAJ";"SO08-EIAJ";"I2C EEPROM chips, 24LC256 (and others)";"";
"U2";"AMS1117_5V";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";
"U3";"AMS1117_5V";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";
"U4";"ATMEGA2560AU";"ATMEGA2560AU";"TQFP100";"Atmel 100-pin 8-bit uC";"";
"U5";"AMS1117_3V3";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";
